Document date,TotalCollection,lag_1,lag_2,lag_3,lag_7,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_median_3,rolling_mean_7,rolling_std_7,ewm_3,ewm_7,diff_1,diff_7,Date,dayofweek,month,day,is_weekend,is_monday,is_friday,is_holiday,is_before_holiday,is_after_holiday
2023-05-26,1.5446247564999998E9,1.5236921655000005E9,1.1407119558700001E9,1.6476521357399998E9,1.9447968982999985E9,1.403009625956667E9,2.2739743653164405E8,1.5446247564999998E9,1.1407119558700001E9,1.5236921655000005E9,1.1505947099771428E9,6.682624028302612E8,1.470623627088893E9,1.3696505740879202E9,2.0932590999999285E7,-4.0017214179999876E8,2023-05-26T00:00:00.000Z,4,5,26,0,0,1,0,0,0
2023-05-27,1.3031497221999998E8,1.5446247564999998E9,1.5236921655000005E9,1.1407119558700001E9,4.0017066421999997E8,1.0662106314066669E9,8.105769901772614E8,1.5446247564999998E9,1.3031497221999998E8,1.5236921655000005E9,1.1120438968342857E9,7.242098191233766E8,8.004692996544465E8,1.0598166736209401E9,-1.4143097842799997E9,-2.69855692E8,2023-05-27T00:00:00.000Z,5,5,27,1,0,0,0,0,0
2023-05-28,1.766282068E7,1.3031497221999998E8,1.5446247564999998E9,1.5236921655000005E9,4.7850186559999995E7,5.642008498000001E8,8.509382494830736E8,1.5446247564999998E9,1.766282068E7,1.3031497221999998E8,1.1077314159942858E9,7.316545948634253E8,4.090660601672232E8,7.99278210385705E8,-1.1265215153999999E8,-3.0187365879999995E7,2023-05-28T00:00:00.000Z,6,5,28,1,0,0,0,1,0
2023-05-29,1.971891240430001E9,1.766282068E7,1.3031497221999998E8,1.5446247564999998E9,1.7494611054499998E9,7.066230111100005E8,1.0972011647398925E9,1.971891240430001E9,1.766282068E7,1.3031497221999998E8,1.1395071495628574E9,7.680926598010675E8,1.190478650298612E9,1.092431467896779E9,1.954228419750001E9,2.224301349800012E8,2023-05-29T00:00:00.000Z,0,5,29,0,1,0,1,0,0
2023-05-30,1.9802264998100002E9,1.971891240430001E9,1.766282068E7,1.3031497221999998E8,1.6476521357399998E9,1.323260186973334E9,1.130688167131548E9,1.9802264998100002E9,1.766282068E7,1.971891240430001E9,1.1870177730014288E9,8.136947510960963E8,1.585352575054306E9,1.3143802258750844E9,8335259.379999161,3.325743640700004E8,2023-05-30T00:00:00.000Z,1,5,30,0,0,0,0,0,1
2023-05-31,1.72372473136E9,1.9802264998100002E9,1.971891240430001E9,1.766282068E7,1.1407119558700001E9,1.891947490533334E9,1.4574478263439566E8,1.9802264998100002E9,1.72372473136E9,1.971891240430001E9,1.2703053123571432E9,8.376502172481085E8,1.6545386532071528E9,1.4167163522463133E9,-2.565017684500003E8,5.830127754899998E8,2023-05-31T00:00:00.000Z,2,5,31,0,0,0,0,0,0
2023-06-01,9.6243078707E8,1.72372473136E9,1.9802264998100002E9,1.971891240430001E9,1.5236921655000005E9,1.555460672746667E9,5.2935018965119207E8,1.9802264998100002E9,9.6243078707E8,1.72372473136E9,1.1901251154385715E9,8.362143960397414E8,1.3084847201385765E9,1.303144960952235E9,-7.612939442899998E8,-5.612613784300004E8,2023-06-01T00:00:00.000Z,3,6,1,0,0,0,0,0,0
2023-06-02,1.20419214895E9,9.6243078707E8,1.72372473136E9,1.9802264998100002E9,1.5446247564999998E9,1.2967825557933333E9,3.8900109894795424E8,1.72372473136E9,9.6243078707E8,1.20419214895E9,1.1414918857885718E9,8.219386276359547E8,1.2563384345442882E9,1.2784067579516761E9,2.4176136188E8,-3.404326075499997E8,2023-06-02T00:00:00.000Z,4,6,2,0,0,1,0,0,0
2023-06-03,4.014756482499999E8,1.20419214895E9,9.6243078707E8,1.72372473136E9,1.3031497221999998E8,8.560328614233335E8,4.1179950711535496E8,1.20419214895E9,4.014756482499999E8,9.6243078707E8,1.1802291252214286E9,7.711614520594884E8,8.289070413971441E8,1.059173980526257E9,-8.027165007000002E8,2.711606760299999E8,2023-06-03T00:00:00.000Z,5,6,3,1,0,0,0,0,0
2023-06-04,4.756387439E7,4.014756482499999E8,1.20419214895E9,9.6243078707E8,1.766282068E7,5.510772238633333E8,5.926488968583392E8,1.20419214895E9,4.756387439E7,4.014756482499999E8,1.1845007043228574E9,7.636952210715086E8,4.3823545789357203E8,8.062714539921927E8,-3.539117738599999E8,2.990105371E7,2023-06-04T00:00:00.000Z,6,6,4,1,0,0,0,0,0
2023-06-05,1.8590674107099998E9,4.756387439E7,4.014756482499999E8,1.20419214895E9,1.971891240430001E9,7.693689777833334E8,9.601538376537942E8,1.8590674107099998E9,4.756387439E7,4.014756482499999E8,1.168383014362857E9,7.452762652905004E8,1.148651434301786E9,1.0694704431716444E9,1.8115035363199997E9,-1.1282382972000122E8,2023-06-05T00:00:00.000Z,0,6,5,0,1,0,0,0,0
2023-06-06,1.1304310330499997E9,1.8590674107099998E9,4.756387439E7,4.014756482499999E8,1.9802264998100002E9,1.0123541060499998E9,9.115058343435266E8,1.8590674107099998E9,4.756387439E7,1.1304310330499997E9,1.0469836619685713E9,6.547017334026338E8,1.1395412336758928E9,1.0847105906412334E9,-7.286363776600001E8,-8.497954667600005E8,2023-06-06T00:00:00.000Z,1,6,6,0,0,0,0,0,0
2023-06-07,1.08196960827E9,1.1304310330499997E9,1.8590674107099998E9,4.756387439E7,1.72372473136E9,1.3571560173433332E9,4.3534286776789767E8,1.8590674107099998E9,1.08196960827E9,1.1304310330499997E9,9.5530435867E8,5.854081250413897E8,1.1107554209729464E9,1.0840253450484252E9,-4.846142477999973E7,-6.417551230899999E8,2023-06-07T00:00:00.000Z,2,6,7,0,0,0,0,0,0
2023-06-08,1.3866708252500005E9,1.08196960827E9,1.1304310330499997E9,1.8590674107099998E9,9.6243078707E8,1.1996904888566668E9,1.63732593185503E8,1.3866708252500005E9,1.08196960827E9,1.1304310330499997E9,1.01591007841E9,6.078008043811725E8,1.2487131231114736E9,1.159686715098819E9,3.047012169800005E8,4.242400381800004E8,2023-06-08T00:00:00.000Z,3,6,8,0,0,0,0,0,0
2023-06-09,1.5180394295600007E9,1.3866708252500005E9,1.08196960827E9,1.1304310330499997E9,1.20419214895E9,1.3288932876933339E9,2.2370271599727204E8,1.5180394295600007E9,1.08196960827E9,1.3866708252500005E9,1.0607454042114288E9,6.349728614883018E8,1.3833762763357372E9,1.2492748937141144E9,1.3136860431000018E8,3.138472806100006E8,2023-06-09T00:00:00.000Z,4,6,9,0,0,1,0,0,0
2023-06-10,1.3140351724E8,1.5180394295600007E9,1.3866708252500005E9,1.08196960827E9,4.014756482499999E8,1.012037924016667E9,7.654751115149065E8,1.5180394295600007E9,1.3140351724E8,1.3866708252500005E9,1.0221636712100002E9,6.877212480194126E8,7.573898967878686E8,9.698070495955858E8,-1.3866359123200006E9,-2.700721310099999E8,2023-06-10T00:00:00.000Z,5,6,10,1,0,0,0,0,0
